disease,medication
Hydronephrosis,"Ledipasvir Sofosbuvir, Darbepoetin Alfa In Polysorbat, Divalproex Sodium, Paclitaxel Protein-Bound, "
Diverticulosis,"Cyanocobalamin (Vitamin B-12), Metformin HCl, Memantine HCl, Methylprednisolone Acetate (80 mg), Bendamustine HCl, "
Pain after an operation,"Cyanocobalamin (Vitamin B-12), Prednisolone Acetate, Dimethyl Fumarate, Metformin HCl, "
Huntington disease,"Epoetin alfa, Fluticasone Salmeterol, Trastuzumab, Divalproex Sodium, Erlotinib HCl, "
West Nile virus,"Insulin Glargine,Hum.Rec.Anlog, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Pneumococcal 13-Valent Vaccine, Albuterol Sulfate, "
Lymphoma,"Propranolol HCl, Ledipasvir Sofosbuvir, Sipuleucel-T Lactated Ringers, Cyclophosphamide, Formoterol Fumarate, "
Dermatitis due to sun exposure,"Chlorpromazine HCl, Albuterol Sulfate, Epoetin Alfa, "
Anemia due to chronic kidney disease,"Bosentan, Formoterol Fumarate, Aminolevulinic Acid HCl, Immun Glob G(IGG) Pro Iga 0-50, Prednisolone Acetate, "
Injury to internal organ,"Abiraterone Acetate, Enzalutamide, "
Scleritis,"Bupropion HCl, Ledipasvir Sofosbuvir, "
Pterygium,"Pregabalin, Teriparatide, Bexarotene, "
Fungal infection of the skin,"Diclofenac Sodium, Octreotide Acetate, Glatiramer Acetate, Darbepoetin Alfa In Polysorbat, Azacitidine, "
Insulin overdose,"Bevacizumab, Cetuximab, Sofosbuvir, Azacitidine, Trastuzumab, Bexarotene, "
Syndrome of inappropriate secretion of ADH (SIADH),"Denosumab, Thyrotropin Alfa, Bupropion HCl, Erlotinib HCl, Daptomycin, "
Foreign body in the ear,"Doxazosin Mesylate, Memantine HCl, Dimethyl Fumarate, "
Premenstrual tension syndrome,"Methylprednisolone Acetate (80 mg), Certolizumab Pegol, Ursodiol, Epoetin Alfa, Divalproex Sodium, "
Orbital cellulitis,"Bosentan, Capecitabine, Doxazosin Mesylate, Cetuximab, Erlotinib HCl, "
Injury to the leg,"Darunavir Ethanolate, Glatiramer Acetate, "
Hepatic encephalopathy,"Bexarotene, Bortezomib, Methylprednisolone Acetate (80 mg), Lenalidomide, "
Bone cancer,"Arformoterol Tartrate, Immun Glob G (IGG) Gly Iga 50+, Adalimumab, Sofosbuvir, "
Leishmaniasis,"Glucagon,human Recombinant, Emtricitabine Tenofovir, Fulvestrant, "
Chagas disease,"Enzalutamide, Treprostinil Sodium, Efavirenz Emtricitab Tenofovir, Naproxen Esomeprazole Mag, Emtricitabine Tenofovir, "
Syringomyelia,"Rosuvastatin Calcium, Cetuximab, "
Pulmonary fibrosis,"Duloxetine HCl, Gemcitabine HCl, Thyrotropin Alfa, Bortezomib, Ursodiol, "
Mitral valve disease,"Emtricitabine Tenofovir, Divalproex Sodium, "
Parkinson disease,"Bosentan, Arformoterol Tartrate, Alteplase, "
Gout,"Efavirenz Emtricitab Tenofovir, Ipilimumab, Sofosbuvir, Hydroxychloroquine Sulfate, Paliperidone Palmitate, Clobetasol Propionate, "
Otitis media,"Darbepoetin Alfa In Polysorbat, Econazole Nitrate, "
Drug abuse (opioids),"Propranolol HCl, Pneumococcal 13-Valent Vaccine, "
Myelodysplastic syndrome,"Chlorpromazine HCl, Econazole Nitrate, Epoetin alfa, Duloxetine HCl, "
Fracture of the shoulder,"Simeprevir Sodium, Treprostinil Sodium, Tiotropium Bromide, Memantine HCl, "
Acute kidney injury,"Clomipramine HCL, Erlotinib HCl, Chlorpromazine HCl, Rivaroxaban, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Threatened pregnancy,"Clobetasol Propionate, Chlorpromazine HCl, Paliperidone Palmitate, Rituximab, Fluticasone Salmeterol, "
Intracranial abscess,"Metformin HCl, Etanercept, Doxazosin Mesylate, Sofosbuvir, "
Gum disease,"Glucagon,human Recombinant, Aripiprazole, Bortezomib, Dimethyl Fumarate, Infliximab, "
Open wound from surgical incision,"Sirolimus, Propranolol HCl, Lenalidomide, "
Gastrointestinal hemorrhage,"Propranolol HCl, Econazole Nitrate, Paclitaxel Protein-Bound, Alteplase, "
Seborrheic dermatitis,"Pneumococcal 13-Valent Vaccine, Econazole Nitrate, Metformin HCl, Simeprevir Sodium, Digoxin, "
Drug abuse (methamphetamine),"Etanercept, Natalizumab, Darunavir Ethanolate, Rosuvastatin Calcium, Thyrotropin Alfa, "
Torticollis,"Doxazosin Mesylate, Paclitaxel Protein-Bound, Pegfilgrastim, Albuterol Sulfate, Corticotropin, "
Poisoning due to antihypertensives,"Rituximab, Fulvestrant, Chlorpromazine HCl, Prednisolone Acetate, Emtricitabine Tenofovir, Methylprednisolone Acetate (40 mg), "
Tension headache,"Abatacept Abatacept Maltose, Azacitidine, Propranolol HCl, Omalizumab, "
Alcohol intoxication,"Pregabalin, Abatacept Abatacept Maltose, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Adalimumab, Arformoterol Tartrate, "
Scurvy,"Doxazosin Mesylate, Paclitaxel Protein-Bound, Octreotide Acetate,mi-Spheres, Sofosbuvir, Digoxin, Enzalutamide, "
Narcolepsy,"Octreotide Acetate, Immun Glob G(IGG) Pro Iga 0-50, Esomeprazole Magnesium, Trastuzumab, Everolimus, Insulin Glargine,Hum.Rec.Anlog, "
Food allergy,"Rivaroxaban, Emtricitabine Tenofovir, "
Labyrinthitis,"Gemcitabine HCl, Dimethyl Fumarate, Carbamazepine, Memantine HCl, "
Anxiety,"Bevacizumab, Thyrotropin Alfa, Paclitaxel Protein-Bound, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Rituximab, "
Impulse control disorder,"Methylprednisolone Acetate (40 mg), Immun Glob G (IGG) Gly Iga 50+, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Naproxen Esomeprazole Mag, "
Stenosis of the tear duct,"Esomeprazole Magnesium, Omalizumab, Aminolevulinic Acid HCl, Clobetasol Propionate, "
Abscess of nose,"Treprostinil Sodium, Immun Glob G(IGG) Malt Iga 50+, Octreotide Acetate,mi-Spheres, Propranolol HCl, "
Omphalitis,"Everolimus, Diclofenac Sodium, Aflibercept, Abatacept Abatacept Maltose, "
Leukemia,"Diclofenac Sodium, Denosumab, Ursodiol, Darbepoetin Alfa In Polysorbat, Cyanocobalamin (Vitamin B-12), Trastuzumab, "
Bell palsy,"Dimethyl Fumarate, Mitomycin, "
Conjunctivitis due to allergy,"Sipuleucel-T Lactated Ringers, Tiotropium Bromide, Cetuximab, Carbamazepine, Ibrutinib, "
Drug reaction,"Ranibizumab, Rosuvastatin Calcium, Azacitidine, Rivaroxaban, Epoetin alfa, Ibrutinib, "
Adrenal cancer,"Daptomycin, Bupropion HCl, "
Myopia,"Naproxen Esomeprazole Mag, Etanercept, Aflibercept, Paclitaxel Protein-Bound, Mitomycin, "
Osteoarthritis,"Corticotropin, Enalapril Maleate, Memantine HCl, "
Thyroid disease,"Naproxen Esomeprazole Mag, Metformin HCl, Epoetin Alfa, Darunavir Ethanolate, Ranibizumab, Rivaroxaban, "
Pharyngitis,"Bosentan, Immun Glob G (IGG) Gly Iga 50+, "
Chronic rheumatic fever,"Pemetrexed Disodium, Rituximab, Methylprednisolone Acetate (40 mg), "
Hypocalcemia,"Immun Glob G(IGG) Malt Iga 50+, Captopril, Teriparatide, "
Macular degeneration,"Certolizumab Pegol, Propranolol HCl, "
Cold sore,"Gemcitabine HCl, Capecitabine, Raltegravir Potassium, Emtricitabine Tenofovir, Arformoterol Tartrate, "
Premature ventricular contractions (PVCs),"Fluticasone Salmeterol, Pregabalin, Adalimumab, Ibrutinib, "
Chancroid,"Divalproex Sodium, Rivaroxaban, Ranibizumab, "
Testicular cancer,"Econazole Nitrate, Bexarotene, Pemetrexed Disodium, Insulin Glargine,Hum.Rec.Anlog, Pegfilgrastim, "
Hydrocephalus,"Enalapril Maleate, Thyrotropin Alfa, Clobetasol Propionate, "
Breast cancer,"Metformin HCl, Prednisolone Acetate, Enzalutamide, "
Anemia due to malignancy,"Sirolimus, Glatiramer Acetate, Propranolol HCl, Duloxetine HCl, Bortezomib, "
Esophageal varices,"Rivaroxaban, Erlotinib HCl, Memantine HCl, Etanercept, Darbepoetin Alfa In Polysorbat, "
Endometrial cancer,"Duloxetine HCl, Cyclophosphamide, Sofosbuvir, Naproxen Esomeprazole Mag, Sipuleucel-T Lactated Ringers, "
Cystic Fibrosis,"Bendamustine HCl, Natalizumab, "
Intertrigo (skin condition),"Rivaroxaban, Octreotide Acetate, Emtricitabine Tenofovir, "
Parathyroid adenoma,"Ipilimumab, Pneumococcal 13-Valent Vaccine, Etanercept, Sirolimus, Divalproex Sodium, "
Glucocorticoid deficiency,"Aflibercept, Ledipasvir Sofosbuvir, Methylprednisolone Acetate (40 mg), Mitomycin, "
Temporomandibular joint disorder,"Certolizumab Pegol, Ledipasvir Sofosbuvir, "
Wilson disease,"Thyrotropin Alfa, Methylprednisolone Acetate (40 mg), Ranibizumab, Abatacept Abatacept Maltose, "
Vesicoureteral reflux,"Emtricitabine Tenofovir, Diclofenac Sodium, "
Vitamin A deficiency,"Bupropion HCl, Darunavir Ethanolate, Ambrisentan, Etanercept, "
Gonorrhea,"Omalizumab, Duloxetine HCl, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Simeprevir Sodium, "
Fracture of the rib,"Glatiramer Acetate, Aflibercept, Treprostinil Sodium, Rosuvastatin Calcium, Memantine HCl, Adalimumab, "
Ependymoma,"Esomeprazole Magnesium, Clomipramine HCL, Everolimus, Sofosbuvir, Bevacizumab, "
Hepatitis due to a toxin,"Rivaroxaban, Cetuximab, Epoetin alfa, "
Vaginal cyst,"Methylprednisolone Acetate (80 mg), Certolizumab Pegol, Bosentan, Tiotropium Bromide, "
Open wound of the shoulder,"Fulvestrant, Methylprednisolone Acetate (40 mg), Abiraterone Acetate, Doxazosin Mesylate, "
Ectopic pregnancy,"Adalimumab, Carfilzomib, "
Chronic knee pain,"Immun Glob G(IGG) Pro Iga 0-50, Pemetrexed Disodium, Sitagliptin Phosphate, "
Pinguecula,"Digoxin, Immun Glob G (IGG) Gly Iga 50+, Darbepoetin Alfa In Polysorbat, Cetuximab, Esomeprazole Magnesium, "
Hypergammaglobulinemia,"Adalimumab, Methylprednisolone Acetate (80 mg), Sofosbuvir, Divalproex Sodium, Pegfilgrastim, "
Alcohol abuse,"Epoetin alfa, Fulvestrant, Methylprednisolone Acetate (80 mg), Immun Glob G (IGG) Gly Iga 50+, "
Carpal tunnel syndrome,"Infliximab, Sofosbuvir, Carbamazepine, Pegfilgrastim, Metformin HCl, Paclitaxel Protein-Bound, "
Pituitary disorder,"Divalproex Sodium, Ambrisentan, Econazole Nitrate, Capecitabine, Rituximab, Adalimumab, "
Kidney stone,"Dimethyl Fumarate, Darbepoetin Alfa In Polysorbat, "
Autism,"Abiraterone Acetate, Everolimus, Immun Glob G(IGG) Malt Iga 50+, Simeprevir Sodium, "
Cat scratch disease,"Etanercept, Omalizumab, Adalimumab, Insulin Glargine,Hum.Rec.Anlog, "
Chronic glaucoma,"Doxazosin Mesylate, Ibrutinib, Methylprednisolone Acetate (80 mg), "
Retinal detachment,"Epoetin Alfa, Imatinib Mesylate, Raltegravir Potassium, Glatiramer Acetate, Immun Glob G(IGG) Malt Iga 50+, "
Aplastic anemia,"Rituximab, Econazole Nitrate, Thyrotropin Alfa, Glucagon,human Recombinant, Pegfilgrastim, Sofosbuvir, "
Overflow incontinence,"Daptomycin, Formoterol Fumarate, Tiotropium Bromide, Efavirenz Emtricitab Tenofovir, Propranolol HCl, Digoxin, "
Rabies,"Fluticasone Salmeterol, Gemcitabine HCl, Enalapril Maleate, Enzalutamide, "
Hemolytic anemia,"Treprostinil Sodium, Esomeprazole Magnesium, Alteplase, Rosuvastatin Calcium, Hydroxychloroquine Sulfate, Duloxetine HCl, "
Lateral epicondylitis (tennis elbow),"Memantine HCl, Denosumab, Epoetin alfa, "
Open wound of the eye,"Bortezomib, Rituximab, Etanercept, Lenalidomide, Bevacizumab, Paclitaxel Protein-Bound, "
Syphilis,"Bevacizumab, Captopril, Cyanocobalamin (Vitamin B-12), Ipilimumab, "
Diabetic kidney disease,"Efavirenz Emtricitab Tenofovir, Octreotide Acetate,mi-Spheres, Etanercept, "
Nose disorder,"Lenalidomide, Carfilzomib, Glatiramer Acetate, Albuterol Sulfate, Memantine HCl, "
Drug withdrawal,"Carfilzomib, Erlotinib HCl, Imatinib Mesylate, Clobetasol Propionate, Metformin HCl, "
Dental caries,"Sirolimus, Prednisolone Acetate, Ledipasvir Sofosbuvir, Azacitidine, Ambrisentan, "
Hypercholesterolemia,"Sirolimus, Divalproex Sodium, Rivaroxaban, Gemcitabine HCl, "
Fracture of the patella,"Abatacept Abatacept Maltose, Omalizumab, Bosentan, Epoetin Alfa, Methylprednisolone Acetate (80 mg), "
Kidney failure,"Abiraterone Acetate, Corticotropin, "
Fracture of the neck,"Captopril, Ibrutinib, Ipilimumab, Natalizumab, "
Muscle spasm,"Thyrotropin Alfa, Everolimus, Duloxetine HCl, Natalizumab, Naproxen Esomeprazole Mag, "
Hemophilia,"Ibrutinib, Pregabalin, Enalapril Maleate, Memantine HCl, "
Hyperosmotic hyperketotic state,"Pegfilgrastim, Chlorpromazine HCl, Paliperidone Palmitate, Clobetasol Propionate, Ursodiol, "
Peritonsillar abscess,"Pemetrexed Disodium, Bexarotene, Octreotide Acetate, Ursodiol, Ambrisentan, "
Gastroparesis,"Albuterol Sulfate, Lenalidomide, Mitomycin, Chlorpromazine HCl, Azacitidine, "
Itching of unknown cause,"Octreotide Acetate,mi-Spheres, Certolizumab Pegol, Imatinib Mesylate, Aminolevulinic Acid HCl, Tiotropium Bromide, Arformoterol Tartrate, "
Fat embolism,"Darbepoetin Alfa In Polysorbat, Aflibercept, Metformin HCl, Duloxetine HCl, Certolizumab Pegol, "
Polycythemia vera,"Carbamazepine, Econazole Nitrate, Ranibizumab, Clomipramine HCL, Insulin Glargine,Hum.Rec.Anlog, "
Thrombocytopenia,"Simeprevir Sodium, Insulin Glargine,Hum.Rec.Anlog, Enalapril Maleate, Omalizumab, "
Head and neck cancer,"Efavirenz Emtricitab Tenofovir, Abatacept Abatacept Maltose, Ursodiol, Duloxetine HCl, Denosumab, "
Pseudohypoparathyroidism,"Aminolevulinic Acid HCl, Alteplase, Methylprednisolone Acetate (80 mg), Glatiramer Acetate, "
Goiter,"Efavirenz Emtricitab Tenofovir, Rituximab, Certolizumab Pegol, "
Urge incontinence,"Sipuleucel-T Lactated Ringers, Denosumab, Naproxen Esomeprazole Mag, Thyrotropin Alfa, Immun Glob G(IGG) Malt Iga 50+, "
Edward syndrome,"Sirolimus, Capecitabine, Paclitaxel Protein-Bound, "
Open wound of the arm,"Erlotinib HCl, Glucagon,human Recombinant, Captopril, Darbepoetin Alfa In Polysorbat, "
Muscular dystrophy,"Imatinib Mesylate, Paclitaxel Protein-Bound, Darbepoetin Alfa In Polysorbat, Ambrisentan, "
Mittelschmerz,"Captopril, Fulvestrant, Rosuvastatin Calcium, Capecitabine, "
Corneal abrasion,"Ambrisentan, Sirolimus, Doxazosin Mesylate, Carfilzomib, Esomeprazole Magnesium, Metformin HCl, "
Anemia of chronic disease,"Paliperidone Palmitate, Ranibizumab, Digoxin, Duloxetine HCl, "
Dysthymic disorder,"Certolizumab Pegol, Hydroxychloroquine Sulfate, Pemetrexed Disodium, "
Scarlet fever,"Mitomycin, Metformin HCl, Propranolol HCl, "
Hypertensive heart disease,"Ledipasvir Sofosbuvir, Metformin HCl, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Immun Glob G(IGG) Pro Iga 0-50, Sitagliptin Phosphate, "
Drug abuse (barbiturates),"Esomeprazole Magnesium, Albuterol Sulfate, Ranibizumab, Aflibercept, Formoterol Fumarate, "
Polycystic ovarian syndrome (PCOS),"Fulvestrant, Trastuzumab, Denosumab, Dimethyl Fumarate, Hydroxychloroquine Sulfate, "
Encephalitis,"Duloxetine HCl, Sofosbuvir, "
Cyst of the eyelid,"Cyclophosphamide, Denosumab, Captopril, Aminolevulinic Acid HCl, "
Balanitis,"Digoxin, Propranolol HCl, Bevacizumab, Mitomycin, Octreotide Acetate, Clomipramine HCL, "
Foreign body in the throat,"Bexarotene, Clobetasol Propionate, "
Drug abuse (cocaine),"Thyrotropin Alfa, Efavirenz Emtricitab Tenofovir, Sofosbuvir, Raltegravir Potassium, "
Optic neuritis,"Imatinib Mesylate, Daptomycin, Ipilimumab, Darbepoetin Alfa In Polysorbat, Immun Glob G(IGG) Malt Iga 50+, "
Alcohol withdrawal,"Glucagon,human Recombinant, Paliperidone Palmitate, Abatacept Abatacept Maltose, Octreotide Acetate,mi-Spheres, "
Premature atrial contractions (PACs),"Carfilzomib, Glatiramer Acetate, Digoxin, Enzalutamide, Esomeprazole Magnesium, "
Hemiplegia,"Pemetrexed Disodium, Bupropion HCl, Abatacept Abatacept Maltose, Cetuximab, Fluticasone Salmeterol, "
Hammer toe,"Darbepoetin Alfa In Polysorbat, Cyclophosphamide, Epoetin alfa, Aminolevulinic Acid HCl, Albuterol Sulfate, "
Open wound of the cheek,"Methylprednisolone Acetate (40 mg), Octreotide Acetate, Naproxen Esomeprazole Mag, Pneumococcal 13-Valent Vaccine, Dimethyl Fumarate, "
Joint effusion,"Metformin HCl, Glatiramer Acetate, Pregabalin, Bevacizumab, "
Open wound of the knee,"Metformin HCl, Enalapril Maleate, Bosentan, Pegfilgrastim, "
Meningioma,"Paliperidone Palmitate, Ambrisentan, Metformin HCl, "
Brain cancer,"Sofosbuvir, Rituximab, "
Placental abruption,"Epoetin alfa, Corticotropin, Infliximab, Metformin HCl, Glatiramer Acetate, "
Seasonal allergies (hay fever),"Ibrutinib, Teriparatide, Epoetin Alfa, Darunavir Ethanolate, "
Lung cancer,"Naproxen Esomeprazole Mag, Econazole Nitrate, "
Primary kidney disease,"Naproxen Esomeprazole Mag, Formoterol Fumarate, Abiraterone Acetate, "
Uterine cancer,"Carfilzomib, Sofosbuvir, Azacitidine, Rituximab, Tiotropium Bromide, Epoetin alfa, "
Dry eye of unknown cause,"Octreotide Acetate,mi-Spheres, Bevacizumab, Metformin HCl, Trastuzumab, "
Fibrocystic breast disease,"Enzalutamide, Everolimus, "
Fungal infection of the hair,"Teriparatide, Immun Glob G(IGG) Malt Iga 50+, Darbepoetin Alfa In Polysorbat, Divalproex Sodium, Albuterol Sulfate, "
Tooth abscess,"Carbamazepine, Ibrutinib, Aflibercept, "
Leptospirosis,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Aminolevulinic Acid HCl, "
Envenomation from spider or animal bite,"Simeprevir Sodium, Bevacizumab, Daptomycin, Bupropion HCl, Naproxen Esomeprazole Mag, "
VACTERL syndrome,"Efavirenz Emtricitab Tenofovir, Epoetin alfa, Darbepoetin Alfa In Polysorbat, Diclofenac Sodium, Tiotropium Bromide, Esomeprazole Magnesium, "
Vertebrobasilar insufficiency,"Dimethyl Fumarate, Glucagon,human Recombinant, Bexarotene, "
Rectal disorder,"Aripiprazole, Divalproex Sodium, Formoterol Fumarate, "
Atonic bladder,"Clobetasol Propionate, Glatiramer Acetate, Chlorpromazine HCl, "
Benign paroxysmal positional vertical (BPPV),"Glucagon,human Recombinant, Fulvestrant, Glatiramer Acetate, "
Blepharospasm,"Epoetin Alfa, Sipuleucel-T Lactated Ringers, Memantine HCl, "
Sarcoidosis,"Pregabalin, Pemetrexed Disodium, Emtricitabine Tenofovir, Immun Glob G(IGG) Pro Iga 0-50, Darunavir Ethanolate, Metformin HCl, "
Metastatic cancer,"Darbepoetin Alfa In Polysorbat, Aflibercept, "
Trigger finger (finger disorder),"Mitomycin, Immun Glob G (IGG) Gly Iga 50+, Glucagon,human Recombinant, Teriparatide, "
Stye,"Certolizumab Pegol, Rivaroxaban, Cetuximab, Pregabalin, Teriparatide, Raltegravir Potassium, "
Hemochromatosis,"Octreotide Acetate,mi-Spheres, Denosumab, Sirolimus, Paclitaxel Protein-Bound, "
Osteochondroma,"Paliperidone Palmitate, Erlotinib HCl, Thyrotropin Alfa, "
Cushing syndrome,"Naproxen Esomeprazole Mag, Albuterol Sulfate, Pneumococcal 13-Valent Vaccine, Aminolevulinic Acid HCl, Ledipasvir Sofosbuvir, "
Typhoid fever,"Clomipramine HCL, Dimethyl Fumarate, "
Vitreous degeneration,"Methylprednisolone Acetate (80 mg), Azacitidine, Prednisolone Acetate, Enalapril Maleate, "
Atrophic skin condition,"Simeprevir Sodium, Carfilzomib, Doxazosin Mesylate, Fluticasone Salmeterol, Rituximab, Propranolol HCl, "
Aspergillosis,"Memantine HCl, Esomeprazole Magnesium, Darbepoetin Alfa In Polysorbat, Erlotinib HCl, Naproxen Esomeprazole Mag, "
Uterine atony,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Clobetasol Propionate, Octreotide Acetate, Cyclophosphamide, "
Trichinosis,"Chlorpromazine HCl, Clobetasol Propionate, Efavirenz Emtricitab Tenofovir, Sirolimus, Dimethyl Fumarate, "
Whooping cough,"Rosuvastatin Calcium, Ursodiol, Mitomycin, Metformin HCl, "
Pick disease,"Divalproex Sodium, Diclofenac Sodium, Octreotide Acetate,mi-Spheres, Capecitabine, Ipilimumab, "
Open wound of the lip,"Mitomycin, Hydroxychloroquine Sulfate, Trastuzumab, "
Subacute thyroiditis,"Fluticasone Salmeterol, Formoterol Fumarate, Ranibizumab, Natalizumab, "
Oral mucosal lesion,"Carfilzomib, Lenalidomide, "
Open wound due to trauma,"Adalimumab, Teriparatide, Paliperidone Palmitate, "
Intracerebral hemorrhage,"Emtricitabine Tenofovir, Alteplase, Octreotide Acetate, Epoetin Alfa, Trastuzumab, "
Alzheimer disease,"Corticotropin, Lenalidomide, Digoxin, Glucagon,human Recombinant, Epoetin Alfa, "
Vaginismus,"Alteplase, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Teriparatide, "
Systemic lupus erythematosis (SLE),"Efavirenz Emtricitab Tenofovir, Bupropion HCl, Gemcitabine HCl, Thyrotropin Alfa, Esomeprazole Magnesium, Sitagliptin Phosphate, "
Premature ovarian failure,"Bevacizumab, Divalproex Sodium, Enzalutamide, Rivaroxaban, Aripiprazole, Paliperidone Palmitate, "
Thoracic outlet syndrome,"Paclitaxel Protein-Bound, Chlorpromazine HCl, "
Ganglion cyst,"Enalapril Maleate, Azacitidine, Natalizumab, "
Dislocation of the knee,"Darunavir Ethanolate, Pemetrexed Disodium, "
Crohn disease,"Cyanocobalamin (Vitamin B-12), Bexarotene, Abiraterone Acetate, "
Postoperative infection,"Cyclophosphamide, Propranolol HCl, "
Folate deficiency,"Bendamustine HCl, Etanercept, "
Fluid overload,"Econazole Nitrate, Dimethyl Fumarate, Propranolol HCl, Sitagliptin Phosphate, Clomipramine HCL, Mitomycin, "
Atrial flutter,"Digoxin, Mitomycin, Alteplase, Darbepoetin Alfa In Polysorbat, "
Skin disorder,"Pregabalin, Cyanocobalamin (Vitamin B-12), Clobetasol Propionate, Immun Glob G (IGG) Gly Iga 50+, Ambrisentan, Paclitaxel Protein-Bound, "
Floaters,"Omalizumab, Octreotide Acetate, "
Tooth disorder,"Thyrotropin Alfa, Fulvestrant, Mitomycin, Omalizumab, Sofosbuvir, Ledipasvir Sofosbuvir, "
