Irritable bowel syndrome,Sharp abdominal pain,Diarrhea,Burning abdominal pain,Constipation,Nausea,Anxiety and nervousness,Lower abdominal pain,Upper abdominal pain,Regurgitation,Insomnia,Rectal bleeding,Flatulence
Fracture of the foot,Foot or toe pain,Ankle pain,Foot or toe swelling,Ankle swelling,Foot or toe weakness,Foot or toe stiffness or tightness
Ovarian cyst,Sharp abdominal pain,Lower abdominal pain,Pelvic pain,Vomiting,Side pain,Nausea,Burning abdominal pain,Painful menstruation,Vaginal discharge,Skin growth,Intermenstrual bleeding,Cramps and spasms
Chlamydia,Penile discharge,Vaginal discharge,Sharp abdominal pain,Painful urination,Vaginal pain,Vaginal itching,Itching of skin,Frequent urination,Lower abdominal pain,Pelvic pain,Groin pain,Penis pain
Parasitic disease,Sharp abdominal pain,Skin rash,Cough,Fever,Hand or finger swelling,Abnormal appearing skin,Coughing up sputum,Swollen lymph nodes,Retention of urine,Itching of skin,Vaginal pain,Painful sinuses
Fracture of the jaw,Facial pain,Peripheral edema,Jaw swelling,Mouth pain,Pain in eye,Bleeding gums,Swollen eye,Bones are painful,Redness in ear,Bleeding in mouth,Gum pain,Skin irritation
Cytomegalovirus infection,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Lipoma,Skin swelling,Back mass or lump,Arm lump or mass,Neck mass,Shoulder lump or mass,Skin growth,Skin lesion,Abnormal appearing skin,Groin mass,Leg lump or mass,Lump or mass of breast,Bones are painful
Female genitalia infection,Vaginal pain,Vulvar irritation,Skin lesion,Fever,Vaginal discharge,Skin growth,Vulvar sore,Spotting or bleeding during pregnancy,Pelvic pain,Mass on vulva,Skin swelling,Groin pain
Pulmonary hypertension,Shortness of breath,Difficulty breathing,Fatigue,Sharp chest pain,Cough,Feeling ill,Wheezing,Peripheral edema,Apnea,Hurts to breath,Palpitations,Hemoptysis
Thyroid nodule,Difficulty in swallowing,Fatigue,Neck mass,Throat feels tight,Hoarse voice,Neck swelling,Lump in throat,Sleepiness,Weight gain,Diminished hearing,Abnormal movement of eyelid,Back weakness
Broken tooth,Toothache,Facial pain,Gum pain,Lip swelling,Mouth pain,Bleeding in mouth,Peripheral edema,Bleeding gums,Difficulty eating,Slurring words,Dry lips,Lump over jaw
Dumping syndrome,Nausea,Vomiting,Fatigue,Upper abdominal pain,Ear pain,Headache,Diarrhea,Weight gain,Vulvar sore,Excessive growth,Knee lump or mass,Itchy eyelid
Lymphadenitis,Sore throat,Fever,Sharp abdominal pain,Swollen lymph nodes,Neck pain,Neck mass,Neck swelling,Ear pain,Cough,Headache,Vomiting,Skin swelling
Injury to the face,Neck pain,Headache,Facial pain,Ear pain,Bleeding from ear,Nosebleed,Mouth pain,Bleeding in mouth,Neck stiffness or tightness,Swollen eye,Redness in or around nose,Diminished hearing
Aortic valve disease,Shortness of breath,Fatigue,Sharp chest pain,Difficulty breathing,Palpitations,Fainting,Peripheral edema,Lymphedema,Increased heart rate,Irregular heartbeat,Leg cramps or spasms,Groin mass
Rheumatoid arthritis,Joint pain,Knee pain,Ache all over,Hand or finger pain,Wrist pain,Peripheral edema,Hand or finger swelling,Joint swelling,Hand or finger weakness,Elbow swelling,Wrist swelling,Stiffness all over
Spermatocele,Pain in testicles,Mass in scrotum,Swelling of scrotum,Retention of urine,Groin pain,Frequent urination,Skin growth,Impotence,Leg lump or mass,Muscle swelling,Low back weakness,Elbow weakness
Impetigo,Skin rash,Skin lesion,Fever,Abnormal appearing skin,Cough,Itching of skin,Nasal congestion,Skin swelling,Skin on head or neck looks infected,Peripheral edema,Mouth ulcer,Sore in nose
Anal fistula,Pain of the anus,Sharp abdominal pain,Blood in stool,Rectal bleeding,Low back cramps or spasms,Lower body pain,Discharge in stools,Constipation,Mass or swelling around the anus,Incontinence of stool,Mass in scrotum
Hypothermia,Depressive or psychotic symptoms,Weakness,Leg stiffness or tightness,Skin rash,Vomiting,Leg swelling,Loss of sensation,Fainting,Elbow weakness,Wrist weakness,Feeling hot and cold,Emotional symptoms
Oppositional disorder,Depressive or psychotic symptoms,Excessive anger,Hostile behavior,Restlessness,Fainting,Temper problems,Antisocial behavior,Obsessions and compulsions,Nightmares,Low self-esteem,Low urine output
Migraine,Headache,Nausea,Vomiting,Dizziness,Diminished vision,Disturbance of memory,Spots or clouds in vision,Symptoms of the face,Blindness,Long menstrual periods
Diabetic peripheral neuropathy,Skin lesion,Foot or toe pain,Loss of sensation,Leg pain,Paresthesia,Problems with movement,Foot or toe swelling,Lymphedema,Skin on leg or foot looks infected,Poor circulation,Foot or toe stiffness or tightness,Hand or finger cramps or spasms
Testicular disorder,Impotence,Fatigue,Loss of sex drive,Symptoms of prostate,Symptoms of the scrotum and testes,Pain in testicles,Excessive urination at night,Skin moles,Excessive anger,Hoarse voice,Regurgitation,Mass in scrotum
Gestational diabetes,Problems during pregnancy,Pain during pregnancy,Uterine contractions,Pelvic pressure,Itching of the anus,Hip stiffness or tightness,Excessive appetite,Mass on vulva,Vaginal redness
Hidradenitis suppurativa,Arm pain,Arm lump or mass,Skin rash,Skin growth,Skin on arm or hand looks infected,Skin lesion,Skin swelling,Lower body pain,Groin mass,Acne or pimples,Arm swelling,Lump or mass of breast
Valley fever,Fever,Shortness of breath,Joint pain,Fatigue,Chills,Back pain,Ache all over,Hurts to breath,Hand or finger pain,Shoulder swelling,Hip stiffness or tightness,Vulvar sore
Conjunctivitis due to bacteria,Eye redness,Cough,Pain in eye,Fever,White discharge from eye,Nasal congestion,Itchiness of eye,Ear pain,Sore throat,Coryza,Symptoms of eye,Abnormal appearing skin
Lewy body dementia,Disturbance of memory,Delusions or hallucinations,Abnormal involuntary movements,Problems with movement,Loss of sensation,Depressive or psychotic symptoms,Dizziness,Weakness,Seizures,Rectal bleeding,Hostile behavior,Paresthesia
Marfan syndrome,Heartburn,Blood in stool,Anxiety and nervousness,Increased heart rate,Stomach bloating,Ache all over,Itching of the anus,Depression,Focal weakness,Shoulder pain,Skin swelling,Emotional symptoms
Multiple myeloma,Weakness,Fatigue,Chills,Problems with movement,Disturbance of memory,Lip swelling,Stiffness all over,Hip lump or mass,Muscle pain,Swollen abdomen,Impotence,Symptoms of the face
Head injury,Headache,Neck pain,Dizziness,Back pain,Fainting,Facial pain,Lip swelling,Ringing in ear,Double vision,Redness in or around nose
Ascending cholangitis,Sharp abdominal pain,Fever,Jaundice,Nausea,Diarrhea,Vomiting,Shortness of breath,Upper abdominal pain,Retention of urine,Painful urination,Stomach bloating,Vaginal itching
Idiopathic irregular menstrual cycle,Unpredictable menstruation,Sharp abdominal pain,Heavy menstrual flow,Long menstrual periods,Pelvic pain,Lower abdominal pain,Intermenstrual bleeding,Painful menstruation,Blood clots during menstrual periods,Cramps and spasms,Frequent menstruation,Infertility
Interstitial lung disease,Cough,Fever,Nasal congestion,Coryza,Sore throat,Shortness of breath,Difficulty breathing,Sleepiness,Abnormal breathing sounds,Headache,Ear pain,Wheezing
Mononeuritis,Loss of sensation,Foot or toe pain,Paresthesia,Leg pain,Arm pain,Low back pain,Hand or finger pain,Elbow pain,Shoulder pain,Ankle pain,Wrist pain,Hand or finger weakness
Malaria,Headache,Fever,Ache all over,Weakness,Vomiting,Back pain,Fainting,Vulvar sore,Excessive growth,Knee lump or mass,Itchy eyelid,Wrist weakness
Somatization disorder,Anxiety and nervousness,Depression,Depressive or psychotic symptoms,Ache all over,Dizziness,Sharp abdominal pain,Insomnia,Feeling ill,Fainting,Fatigue,Difficulty breathing,Weakness
Hypovolemia,Vomiting,Diarrhea,Nausea,Fever,Dizziness,Weakness,Sharp abdominal pain,Fainting,Headache,Fluid retention,Decreased appetite,Feeling ill
Schizophrenia,Depressive or psychotic symptoms,Delusions or hallucinations,Depression,Anxiety and nervousness,Hostile behavior,Fears and phobias,Drug abuse,Insomnia,Temper problems,Excessive anger,Hysterical behavior,Low self-esteem
Knee ligament or meniscus tear,Knee pain,Knee swelling,Knee stiffness or tightness,Knee weakness,Leg stiffness or tightness,Leg weakness,Stiffness all over,Joint swelling,Knee lump or mass,Foot or toe cramps or spasms,Knee cramps or spasms
Endocarditis,Shortness of breath,Dizziness,Sharp chest pain,Palpitations,Fatigue,Weakness,Increased heart rate,Irregular heartbeat,Leg swelling,Lower body pain,Pain or soreness of breast,Chills
Sepsis,Fever,Depressive or psychotic symptoms,Shortness of breath,Weakness,Vomiting,Difficulty breathing,Cough,Sharp abdominal pain,Chills,Decreased appetite,Feeling ill,Suprapubic pain
Heat stroke,Feeling hot,Chills,Fainting,Vomiting,Leg pain,Palpitations,Fever,Feeling ill,Dizziness,Nausea,Loss of sensation,Nailbiting
Cholecystitis,Sharp abdominal pain,Upper abdominal pain,Nausea,Vomiting,Sharp chest pain,Back pain,Side pain,Burning abdominal pain,Lower body pain,Regurgitation,Stomach bloating,Symptoms of the kidneys
Cardiac arrest,Shortness of breath,Difficulty breathing,Sharp chest pain,Weakness,Increased heart rate,Irregular heartbeat,Focal weakness,Palpitations,Hurts to breath,Decreased heart rate,Arm swelling,Pallor
Cardiomyopathy,Shortness of breath,Sharp chest pain,Fatigue,Peripheral edema,Palpitations,Chest tightness,Weight gain,Irregular heartbeat,Heartburn,Excessive urination at night,Decreased heart rate,Muscle weakness
Social phobia,Anxiety and nervousness,Depression,Depressive or psychotic symptoms,Fears and phobias,Insomnia,Abusing alcohol,Low self-esteem,Delusions or hallucinations,Temper problems,Excessive anger,Obsessions and compulsions,Excessive appetite
Meningitis,Headache,Fever,Vomiting,Neck pain,Ache all over,Back pain,Seizures,Nausea,Low back pain,Cough,Leg pain,Neck stiffness or tightness
Spherocytosis,Skin rash,Cough,Fever,Leg pain,Neck pain,Jaundice,Sharp abdominal pain,Elbow cramps or spasms,Elbow weakness,Excessive growth,Low back weakness,Wrist weakness
Hormone disorder,Excessive growth,Headache,Weight gain,Symptoms of eye,Unpredictable menstruation,Hot flashes,Acne or pimples,Lump or mass of breast,Loss of sex drive,Painful menstruation,Frontal headache,Lack of growth
Raynaud disease,Loss of sensation,Hand or finger swelling,Abnormal appearing skin,Paresthesia,Poor circulation,Symptoms of eye,Ache all over,Hand or finger pain,Skin lesion,Muscle pain,Wrist swelling,Back pain
Reactive arthritis,Knee pain,Ache all over,Hip pain,Back pain,Vulvar sore,Loss of sex drive,Knee lump or mass,Nailbiting,Excessive growth,Wrist weakness,Shoulder swelling,Neck cramps or spasms
Scabies,Skin rash,Itching of skin,Skin swelling,Abnormal appearing skin,Problems during pregnancy,Foot or toe swelling,Diaper rash,Skin dryness;peeling;scaliness;or roughness,Unpredictable menstruation,Itchy scalp,Pain in gums,Penis redness
Ear wax impaction,Plugged feeling in ear,Ear pain,Diminished hearing,Cough,Nasal congestion,Fever,Ringing in ear,Fluid in ear,Redness in ear,Pulling at ears,Painful sinuses,Sinus congestion
Hypertension of pregnancy,Problems during pregnancy,Headache,Pain during pregnancy,Uterine contractions,Spotting or bleeding during pregnancy,Cramps and spasms,Painful sinuses,Unusual color or odor to urine,Absence of menstruation,Heartburn,Pelvic pressure
Peripheral arterial embolism,Leg pain,Loss of sensation,Leg swelling,Abnormal appearing skin,Foot or toe pain,Leg stiffness or tightness,Lymphedema,Poor circulation,Paresthesia,Groin pain,Long menstrual periods,Knee swelling
Rosacea,Abnormal appearing skin,Skin rash,Acne or pimples,Skin dryness;peeling;scaliness;or roughness,Skin lesion,Skin swelling,Skin growth,Skin moles,Itching of skin,Warts,Symptoms of eye,Lymphedema
Fracture of the skull,Headache,Facial pain,Vomiting,Depressive or psychotic symptoms,Fainting,Neck pain,Nausea,Diminished hearing,Symptoms of the face,Drug abuse,Ringing in ear,Nosebleed
Uveitis,Diminished vision,Symptoms of eye,Upper abdominal pain,Eye redness,Elbow cramps or spasms,Wrist weakness,Nailbiting,Hip stiffness or tightness,Vulvar sore,Elbow weakness,Cross-eyed,Itchy eyelid
Fracture of the facial bones,Facial pain,Headache,Pain in eye,Nosebleed,Swollen eye,Peripheral edema,Redness in or around nose,Abusing alcohol,Double vision,Hemoptysis,Difficulty eating,Lip swelling
Tracheitis,Cough,Sore throat,Fever,Coryza,Hoarse voice,Nasal congestion,Ear pain,Difficulty breathing,Headache,Plugged feeling in ear,Shortness of breath,Sneezing
Jaw disorder,Toothache,Facial pain,Gum pain,Jaw swelling,Headache,Peripheral edema,Mouth pain,Neck mass,Symptoms of the face,Difficulty in swallowing,Pain in gums,Jaw pain
Perirectal infection,Pain of the anus,Mass or swelling around the anus,Skin swelling,Lower body pain,Fluid retention,Skin lesion,Skin growth,Abnormal appearing skin,Rectal bleeding,Acne or pimples,Pain in testicles,Swelling of scrotum
Breast cyst,Lump or mass of breast,Pain or soreness of breast,Bleeding or discharge from nipple,Skin growth,Neck mass,Warts,Irregular belly button,Coughing up sputum,Vaginal dryness,Arm lump or mass
Post-traumatic stress disorder (PTSD),Anxiety and nervousness,Depression,Depressive or psychotic symptoms,Insomnia,Delusions or hallucinations,Drug abuse,Excessive anger,Temper problems,Abusing alcohol,Low self-esteem,Hostile behavior,Fears and phobias
Kidney cancer,Kidney mass,Retention of urine,Blood in urine,Symptoms of the kidneys,Symptoms of prostate,Excessive urination at night,Involuntary urination,Increased heart rate,Drainage in throat,Groin mass,Changes in stool appearance,Bedwetting
Vulvar cancer,Back pain,Ache all over,Pelvic pain,Abnormal involuntary movements,Insomnia,Lump or mass of breast,Weakness,Fluid retention,Peripheral edema,Feeling ill,Emotional symptoms,Elbow weakness
Blepharitis,Diminished vision,Eye redness,Pain in eye,Itchiness of eye,Swollen eye,Symptoms of eye,Lacrimation,Spots or clouds in vision,Eyelid swelling,White discharge from eye,Eye burns or stings,Eyelid lesion or rash
Celiac disease,Sharp abdominal pain,Diarrhea,Regurgitation,Fatigue,Vomiting,Nausea,Allergic reaction,Sharp chest pain,Fears and phobias,Peripheral edema,Leg lump or mass,Constipation
Cystitis,Painful urination,Suprapubic pain,Frequent urination,Blood in urine,Sharp abdominal pain,Back pain,Retention of urine,Side pain,Lower abdominal pain,Pelvic pain,Involuntary urination,Symptoms of bladder
Sickle cell anemia,Ache all over,Leg pain,Fever,Back pain,Joint pain,Pulling at ears,Temper problems,Muscle cramps;contractures;or spasms,Irregular belly button,Swollen tongue,Penis pain,Dry lips
Subconjunctival hemorrhage,Pain in eye,Eye redness,Diminished vision,Symptoms of eye,Headache,Swollen eye,Bleeding from eye,Facial pain,Eyelid swelling,Blindness,Foreign body sensation in eye,Eye burns or stings
Hemorrhoids,Rectal bleeding,Pain of the anus,Blood in stool,Constipation,Sharp abdominal pain,Mass or swelling around the anus,Itching of the anus,Lower body pain,Melena,Changes in stool appearance,Heartburn,Vaginal pain
Contact dermatitis,Skin rash,Itching of skin,Abnormal appearing skin,Skin lesion,Skin dryness;peeling;scaliness;or roughness,Allergic reaction,Skin swelling,Acne or pimples,Skin irritation,Swollen eye,Diaper rash,Skin moles
Sinus bradycardia,Sharp chest pain,Dizziness,Shortness of breath,Palpitations,Increased heart rate,Fainting,Decreased heart rate,Weakness,Irregular heartbeat,Chest tightness,Fatigue,Feeling ill
High blood pressure,Sharp chest pain,Headache
Pelvic inflammatory disease,Sharp abdominal pain,Pelvic pain,Lower abdominal pain,Vaginal discharge,Nausea,Vomiting,Side pain,Burning abdominal pain,Back pain,Painful urination,Suprapubic pain,Intermenstrual bleeding
Liver disease,Sharp abdominal pain,Jaundice,Upper abdominal pain,Diarrhea,Shortness of breath,Nausea,Weakness,Side pain,Peripheral edema,Blood in stool,Unusual color or odor to urine,Heartburn
Chronic constipation,Constipation,Sharp abdominal pain,Burning abdominal pain,Vomiting,Nausea,Lower abdominal pain,Rectal bleeding,Blood in stool,Pain of the anus,Retention of urine,Stomach bloating,Changes in stool appearance
Thyroid cancer,Fatigue,Difficulty in swallowing,Neck mass,Leg weakness,Stiffness all over,Neck swelling,Swollen lymph nodes,Arm weakness,Delusions or hallucinations
Flu,Fever,Cough,Sore throat,Nasal congestion,Ache all over,Flu-like syndrome,Headache,Vomiting,Chills,Coryza,Nausea,Diarrhea
Friedrich ataxia,Ear pain,Flatulence,Peripheral edema,Wheezing,Arm weakness,Arm pain,Cough,Shoulder swelling,Vulvar sore,Knee lump or mass,Back stiffness or tightness,Itchy eyelid
Tic (movement) disorder,Abnormal involuntary movements,Headache,Abnormal movement of eyelid,Seizures,Depressive or psychotic symptoms,Symptoms of eye,Problems with movement,Cramps and spasms,Excessive anger,Stiffness all over,Groin pain,Temper problems
Skin polyp,Skin moles,Skin lesion,Abnormal appearing skin,Skin growth,Acne or pimples,Itching of skin,Skin swelling,Change in skin mole size or color,Warts,Skin dryness;peeling;scaliness;or roughness,Irregular appearing scalp,Skin irritation
Brachial neuritis,Neck pain,Shoulder pain,Arm pain,Loss of sensation,Back pain,Headache,Low back pain,Paresthesia,Hand or finger pain,Arm weakness,Elbow pain,Hand or finger weakness
Cervical cancer,Pelvic pain,Vaginal discharge,Heavy menstrual flow,Unpredictable menstruation,Vaginal itching,Intermenstrual bleeding,Painful menstruation,Vulvar irritation,Difficulty eating,Jaundice,Mass on vulva,Swollen abdomen
Adrenal adenoma,Sharp abdominal pain,Sharp chest pain,Anxiety and nervousness,Shortness of breath,Constipation,Ache all over,Back pain,Muscle swelling,Low back weakness,Elbow cramps or spasms,Back weakness,Pus in sputum
Esophagitis,Sharp chest pain,Sharp abdominal pain,Vomiting,Difficulty in swallowing,Nausea,Heartburn,Upper abdominal pain,Sore throat,Cough,Shortness of breath,Burning abdominal pain,Chest tightness
Gas gangrene,Sharp abdominal pain,Shoulder cramps or spasms,Excessive anger,Ankle pain,Wrist pain,Pain during pregnancy,Facial pain,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Pain in eye,Fatigue
Yeast infection,Vaginal itching,Vaginal discharge,Skin rash,Diaper rash,Sharp abdominal pain,Itching of skin,Suprapubic pain,Painful urination,Frequent urination,Problems during pregnancy,Pelvic pain,Vaginal pain
Spina bifida,Back pain,Skin lesion,Headache,Involuntary urination,Joint pain,Disturbance of memory,Drainage in throat,Eye moves abnormally,Feet turned in,Ringing in ear,Poor circulation,Leg weakness
Drug poisoning due to medication,Depressive or psychotic symptoms,Depression,Drug abuse,Fainting,Abusing alcohol,Sleepiness,Slurring words,Allergic reaction,Fluid retention,Delusions or hallucinations,Lip swelling,Stiffness all over
Alcoholic liver disease,Sharp abdominal pain,Abusing alcohol,Peripheral edema,Abdominal distention,Diarrhea,Abnormal involuntary movements,Vomiting blood,Blood in stool,Upper abdominal pain,Weight gain,Stomach bloating,Kidney mass
Malignant hypertension,Sharp chest pain,Headache,Shortness of breath,Vomiting,Depressive or psychotic symptoms,Dizziness,Seizures,Loss of sensation,Peripheral edema,Insomnia,Focal weakness,Lower body pain
Diverticulitis,Sharp abdominal pain,Lower abdominal pain,Diarrhea,Nausea,Vomiting,Burning abdominal pain,Fever,Side pain,Blood in stool,Upper abdominal pain,Constipation,Chills
Moyamoya disease,Blindness,Headache,Depressive or psychotic symptoms,Loss of sensation,Seizures,Itchy eyelid,Wrist weakness,Excessive growth,Elbow cramps or spasms,Elbow weakness,Nailbiting,Hip stiffness or tightness
Heat exhaustion,Dizziness,Weakness,Headache,Fainting,Vomiting,Nausea,Sharp chest pain,Fluid retention,Shortness of breath,Leg cramps or spasms,Feeling hot,Sweating
Psychotic disorder,Depressive or psychotic symptoms,Depression,Delusions or hallucinations,Anxiety and nervousness,Hostile behavior,Excessive anger,Insomnia,Drug abuse,Fears and phobias,Abusing alcohol,Temper problems,Hysterical behavior
Frostbite,Loss of sensation,Foot or toe pain,Ache all over,Hand or finger swelling,Sharp chest pain,Fainting,Back pain,Elbow cramps or spasms,Nailbiting,Low back weakness,Feeling hot and cold,Elbow weakness
Atrophy of the corpus cavernosum,Penis pain,Bumps on penis,Abnormal appearing skin,Skin growth,Impotence,Fever,Temper problems,Congestion in chest,Penis redness,Frequent urination,Penile discharge,Groin pain
Smoking or tobacco addiction,Smoking problems,Cough,Sharp chest pain,Shortness of breath,Headache,Drug abuse,Abusing alcohol,Coughing up sputum,Hurts to breath,Excessive anger,Sinus congestion,Hemoptysis
Sprain or strain,Back pain,Neck pain,Ankle pain,Knee pain,Low back pain,Shoulder pain,Leg pain,Foot or toe pain,Headache,Wrist pain,Hand or finger pain,Arm pain
Essential tremor,Abnormal involuntary movements,Problems with movement,Headache,Dizziness,Seizures,Loss of sensation,Disturbance of memory,Muscle pain,Painful sinuses,Arm stiffness or tightness,Hoarse voice,Fears and phobias
Open wound of the ear,Ear pain,Bleeding from ear,Fluid in ear,Facial pain,Disturbance of memory,Symptoms of eye,Dry lips,Plugged feeling in ear,Ringing in ear
Foreign body in the nose,Nasal congestion,Coughing up sputum,Nosebleed,Regurgitation,Redness in or around nose
Idiopathic painful menstruation,Painful menstruation,Sharp abdominal pain,Pelvic pain,Heavy menstrual flow,Lower abdominal pain,Cramps and spasms,Long menstrual periods,Unpredictable menstruation,Blood clots during menstrual periods,Absence of menstruation,Vaginal discharge,Vaginal itching
Down syndrome,Fever,Nasal congestion,Cough,Seizures,Decreased appetite,Lack of growth,Temper problems,Fluid in ear,Apnea,Difficulty speaking,Difficulty in swallowing,Infant feeding problem
Idiopathic infrequent menstruation,Unpredictable menstruation,Painful menstruation,Vaginal discharge,Sharp abdominal pain,Scanty menstrual flow,Nausea,Infrequent menstruation,Infertility,Absence of menstruation,Pain or soreness of breast,Frequent urination,Retention of urine
Pneumothorax,Sharp chest pain,Shortness of breath,Shoulder pain,Difficulty breathing,Rib pain,Back pain,Cough,Side pain,Coughing up sputum,Drainage in throat,Drug abuse,Hurts to breath
De Quervain disease,Wrist pain,Hand or finger pain,Shoulder pain,Wrist swelling,Arm pain,Hand or finger swelling,Peripheral edema,Wrist stiffness or tightness,Abnormal involuntary movements,Lower body pain
Fracture of the vertebra,Back pain,Low back pain,Neck pain,Hip pain,Bones are painful,Problems with movement,Pelvic pain,Leg stiffness or tightness,Arm weakness,Hand or finger stiffness or tightness,Hip weakness,Muscle stiffness or tightness
Human immunodeficiency virus infection (HIV),Drug abuse,Fears and phobias,Mouth pain,Nightmares
Mumps,Jaw swelling,Ear pain,Neck swelling,Sore throat,Fever,Flu-like syndrome,Swollen lymph nodes,Fluid retention,Nailbiting,Shoulder swelling,Eye strain,Hip stiffness or tightness
Subarachnoid hemorrhage,Headache,Dizziness,Vomiting,Neck pain,Weakness,Fainting,Loss of sensation,Seizures,Symptoms of eye,Nosebleed,Bleeding from ear,Disturbance of memory
Acute fatty liver of pregnancy (AFLP),Pain during pregnancy,Sharp abdominal pain,Itching of skin,Eye strain,Wrist weakness,Itchy eyelid,Nailbiting,Hip stiffness or tightness,Elbow weakness,Elbow cramps or spasms,Emotional symptoms,Cross-eyed
Ectropion,Lacrimation,Pain in eye,Abnormal movement of eyelid,Symptoms of eye,Eye redness,Spots or clouds in vision,Eyelid lesion or rash,Foreign body sensation in eye,Swollen eye,Diminished vision,White discharge from eye,Itchiness of eye
Scar,Acne or pimples,Skin lesion,Abnormal appearing skin,Itching of skin,Skin growth,Skin moles,Skin dryness;peeling;scaliness;or roughness,Skin pain,Skin swelling,Mass on ear,Lump or mass of breast,Lip swelling
Lactose intolerance,Diarrhea,Burning abdominal pain,Headache,Sharp abdominal pain,Nasal congestion,Shortness of breath,Constipation,Muscle pain,Flatulence,Weight gain,Impotence,Cramps and spasms
Eustachian tube dysfunction (ear disorder),Ear pain,Diminished hearing,Plugged feeling in ear,Redness in ear,Nasal congestion,Sore throat,Fluid in ear,Dizziness,Ringing in ear,Abnormal breathing sounds,Allergic reaction,Swollen or red tonsils
Appendicitis,Sharp abdominal pain,Lower abdominal pain,Vomiting,Nausea,Fever,Burning abdominal pain,Side pain,Diarrhea,Upper abdominal pain,Chills,Decreased appetite,Stomach bloating
Graves disease,Dizziness,Fatigue,Palpitations,Sweating,Abnormal involuntary movements,Weight gain,Leg cramps or spasms,Irregular heartbeat,Involuntary urination,Foot or toe swelling,Muscle cramps;contractures;or spasms,Hemoptysis
Dissociative disorder,Depressive or psychotic symptoms,Anxiety and nervousness,Depression,Low self-esteem,Excessive anger,Disturbance of memory,Delusions or hallucinations,Back weakness,Muscle swelling,Elbow cramps or spasms,Pus in urine,Low back weakness
Open wound of the face,Facial pain,Leg stiffness or tightness,Feeling hot,Jaw swelling,Symptoms of the kidneys,Wrist swelling,Neck swelling,Redness in or around nose,Eyelid swelling
Dislocation of the vertebra,Neck pain,Back pain,Low back pain,Bones are painful,Hand or finger pain,Leg pain,Loss of sensation,Arm pain,Elbow weakness,Excessive growth,Feeling hot and cold,Wrist weakness
Phimosis,Penis pain,Penis redness,Retention of urine,Painful urination,Blood in urine,Penile discharge,Bumps on penis,Thirst,Symptoms of the scrotum and testes,Impotence,Itchiness of eye
Hyperemesis gravidarum,Vomiting,Nausea,Problems during pregnancy,Sharp abdominal pain,Pain during pregnancy,Diarrhea,Burning abdominal pain,Dizziness,Headache,Weakness,Vomiting blood,Upper abdominal pain
Pregnancy,Uterine contractions,Pain during pregnancy,Problems during pregnancy,Spotting or bleeding during pregnancy,Cramps and spasms,Pelvic pressure
Thalassemia,Congestion in chest,Insomnia,Fatigue,Regurgitation,Coryza,Knee swelling,Diminished vision,Pain in testicles,Arm pain,Muscle swelling,Low back weakness,Elbow weakness
Placenta previa,Spotting or bleeding during pregnancy,Pain during pregnancy,Cramps and spasms,Uterine contractions,Delusions or hallucinations,Problems during pregnancy,Involuntary urination,Vaginal discharge
Epidural hemorrhage,Back pain,Depressive or psychotic symptoms,Side pain,Dizziness,Leg pain,Diminished hearing,Elbow weakness,Excessive growth,Low back weakness,Feeling hot and cold,Wrist weakness,Emotional symptoms
Septic arthritis,Knee pain,Knee swelling,Fever,Leg pain,Problems with movement,Hand or finger pain,Elbow pain,Feeling ill,Skin on arm or hand looks infected,Hip pain,Abnormal appearing skin,Elbow swelling
Athlete's foot,Skin rash,Foot or toe pain,Skin lesion,Itching of skin,Skin dryness;peeling;scaliness;or roughness,Skin on leg or foot looks infected,Abnormal appearing skin,Foot or toe swelling,Skin irritation,Irregular appearing nails,Skin swelling,Irregular appearing scalp
Pleural effusion,Sharp chest pain,Shortness of breath,Cough,Difficulty breathing,Hurts to breath,Back pain,Rib pain,Fever,Sharp abdominal pain,Drainage in throat,Weakness,Side pain
Aphakia,Diminished vision,Symptoms of eye,Pain in eye,Eye redness,Itchiness of eye,Spots or clouds in vision,Eye burns or stings,Mass on eyelid
Vulvar disorder,Skin lesion,Vaginal discharge,Vulvar irritation,Vulvar sore,Vaginal pain,Skin growth,Vaginal itching,Painful urination,Pain during intercourse,Pelvic pain,Lump or mass of breast,Skin dryness;peeling;scaliness;or roughness
Vitamin B deficiency,Dizziness,Elbow pain,Allergic reaction,Difficulty speaking,Headache,Muscle cramps;contractures;or spasms,Vomiting,Cough,Nausea,Knee pain,Abnormal involuntary movements,Hip pain
Sialoadenitis,Peripheral edema,Facial pain,Swollen lymph nodes,Ear pain,Jaw swelling,Neck mass,Neck swelling,Sore throat,Neck pain,Cough,Difficulty in swallowing,Nasal congestion
Gynecomastia,Problems with shape or size of breast,Lump or mass of breast,Back pain,Pain or soreness of breast,Neck pain,Weight gain,Skin swelling,Bones are painful,Irregular belly button
Urinary tract infection,Painful urination,Suprapubic pain,Sharp abdominal pain,Frequent urination,Fever,Vomiting,Back pain,Nausea,Blood in urine,Side pain,Retention of urine,Lower abdominal pain
Histoplasmosis,Lacrimation,Ache all over,Cough,Double vision,Eye redness,Decreased appetite,Diminished vision,Elbow cramps or spasms,Elbow weakness,Excessive growth,Low back weakness,Feeling hot and cold
